persuade |  v. 说服 vt. 劝说,说服
entrenched |  adj. (权力, 风俗等)确立的, 确定的
exponent |  n. 拥护者，说明者，楷模 // n. 指数 // adj. 说明的
furor |  n. 激怒, 狂热, (诗情的)激情
gaudy |  adj. 俗丽的 // n. （英）盛大宴会（尤指大学年会）
generalize |  v. 使一般化, 概括，归纳
Herculean |  adj. 力大无比的，极费力的 // Herculean // adj. [希神]赫拉克勒斯的
hubbub |  n. 嘈杂, 喧哗
humdrum |  adj. 单调的, 乏味的 // n.乏味的谈话
idyll |  n. 田园生活, 田园诗 // =idyl
immortality |  n. 不朽, 永生
impromptu |  adj. 即席的, 即兴的 // adv. 即兴的(地), 无准备的(地)
improvise |  v. 即席写作,即席即兴,即席而作
incinerator |  n. 焚烧装置,焚烧炉,焚尸炉
indelible |  adj. 不能擦除的, 不能磨灭的, 难忘的
indigenous |  adj. 该土地所固有的,土著的,国产的
infernal |  adj. 地狱的(恶魔似的,极度的)
liaison |  n. 联络
literal |  adj. 逐字的, 字面上的, 文字的 // [计算机] 文字的
mannerism |  n. 特殊习惯；矫揉造作；怪癖
martyr |  n. 烈士,殉道者 // vt. 杀害,折磨,牺牲
masculinity |  n. 男性；男子气；刚毅
matrimony |  n. 结婚,婚姻生活,婚礼
melodious |  adj. 旋律美妙的, 调子优美的, 音乐性的
microfilm |  n. 缩影胶片
mythical |  adj. 神话的，虚构的，杜撰出来的
null |  adj. 无效力的,无效的,无价值的 // n. 零 // [计算机] 空 // vt. 使无效
oriental |  adj. 东方(人)的,贵重的
outcast |  adj. 被逐出的,被遗弃的,无家可归的 // n. 被驱逐的人,流浪人,无赖
patriotism |  n. 爱国心,爱国精神
persecute |  vt. 迫害
platitude |  n. 陈词滥调，陈腐
propaganda |  n. 宣传, 宣传的内容
redeem |  vt. 赎回, 挽回, 履行
rehearse |  vt. 预演, 排演, 预先演习 // vi. 参加彩排
ritual |  n. 仪式,典礼,宗教仪式,固定程序 // adj. 仪式的,依仪式而行的，老规矩的，惯常的
sarcasm |  n. 挖苦, 讽刺
solidarity |  n. 团结
sphinx |  n. 狮身人面像, 谜一样的人
trophy |  n. 奖品, 战利品
visualize |  v. 使...看得见,将事物在心里想像,形象
dilemma |  n. 困境,进退两难
genius |  n. 天才, 高智力, 天赋
nutrition |  n. 营养
perspective |  n. 远景, 看法, 透视 // adj. 透视的
superiority |  n. 优越性, 优势
astonish |  v. 使...惊讶
compel |  v. 强迫,迫使
environmental |  adj. 环境的
exaggerate |  vt. &vi. 夸大,夸张
obscure |  adj. 微暗的,难解的,不著名的,[语音学]轻音的  // vt. 使...阴暗,隐藏,使...含糊,成为含糊的元音   // n. 暗淡,模糊
redundant |  adj. 多余的,失业的
jeopardize |  vt. 危害,使受危困,使陷危地
fertilizer |  n. 肥料
catastrophe |  n. 大灾难,大祸,彻底失败
diffuse |  vt. 散播,使(气体或液体)慢慢混合 // vi. 弥漫,扩散 // adj. 冗长的,四散的,散漫的
overtake |  v. 赶上, 突然来袭, 压倒
transition |  n. 过渡,转变
aggravate |  vt. 使...恶化,使...更严重 // vt. [口]激怒
sensational |  adj. 使人感动的, 非常好的, 轰动的, 耸人听闻的
agitation |  n. 激动,兴奋,煽动
alliterate |  v. （使）押头韵
amalgamate |  v. 合并,混合 // vt. 混合
apparatus |  n. 装置, 器具, 机构, 组织
arable |  adj. 可耕的, 适合种植的
bitumen |  n. 沥青
brewery |  n. 啤酒厂
bronze |  adj. 青铜色的 // n. 青铜, 青铜色, 青铜制品, 铜牌(第三名) // vt. 使成青铜色
canal |  n. 运河,沟渠,气管,食管 // vt. 建运河,疏导
caravan |  n. （穿越沙漠的）旅行队, 商队，大篷车
carpentry |  n. 木工手艺,木工业
ceramic |  adj. 陶器的 // n. 陶器, 陶瓷学
chisel |  n.凿子，錾子； <俚>诈骗 // vt.& vi.凿，雕； 錾，镌； 欺骗； 钻进
circumnavigate |  vt. 环航，绕行
consign |  v. 交付, 分配, 委托
contingency |  n. 偶然, 可能性, 意外事故, 可能发生的附带事件
decompose |  vi. &vt. 分解 // vt. 腐烂
fathom |  n. 测量深度, 看穿, 了解，英寻（=6英尺) // vi. 测量深度 // vt. 彻底了解，测深
fermentation |  n. 发酵，骚动
furious |  adj. 狂怒的, 猛烈的
furrow |  n. 犁沟, 皱纹 // v. 犁，耕，（使）起皱纹
granule |  n. 小粒, 微粒
gypsum |  n. 石膏(灰泥板) // vt 用石膏处理
herdsman |  n. 牧民
hitchhike |  v. 搭便车
indignant |  adj. 愤慨的, 愤愤不平的
locomotive |  n. 火车头, 机关车 // adj. 运转的, 火车头的, 移动的
lubricate |  v. 润滑, 加润滑剂
mackintosh |  n. 橡皮布, 橡皮布防水衣, 雨衣
manhole |  n. (位于街面，盖有金属盖，供工人检修、疏浚下水道时出入的)出入孔，检修孔，人孔
memento |  n. 纪念品
methodical |  adj. 有方法的,有系统的
mosaic |  adj. 摩西的 n. 马赛克, 镶嵌细工, 镶木细工
navigable |  adj. 可航行的,可通船的,适于航行的 // adj. 容易环绕的.
nostalgia |  n. 乡愁, 向往过去, 怀旧之情
notch |  n. 刻痕,等级,峡谷 // vt. 刻凹痕,用刻痕计算,计分
odyssey |  n.远行，长途冒险旅行 // n.奥德赛(希腊史诗)
pacify |  vt. 使...平静, 安慰
paraphernalia |  n. [律]已婚妇女的私人财产，随身用品，装备
parody |  n. 打油诗文, 诙谐的改编诗文, 拙劣的模仿 // v. 拙劣模仿, 作模仿诗文
percussion |  n. 打击乐器，撞击，碰撞, 振动,引爆 [医]叩诊
profane |  adj. 亵渎的，不敬神的，世俗的 // vt. 亵渎, 玷污
prosaic |  adj. 散文的，单调的, 无趣的
pseudonym |  n. 匿名, 假名, 笔名
pulley |  n. 滑车, 滑轮，皮带轮
pyre |  n. 火葬柴堆
pyrite |  n. 黄铁矿
quirk |  n. 怪癖,急转
ramble |  v. 漫步, 漫谈, 漫游 // n. 漫步, 闲谈，蔓延
resonant |  adj. 共鸣的, 反响的
saddle |  n. 鞍,车座,山脊,拖具 // vt. 装以马鞍,使负担 // vi. 装马鞍
sectional |  adj. 各部分组成的, 各阶层或不同部分的
shovel |  n. 铲, 挖斗机, 一铲的量 // vt. 铲, 挖, 舀 // vi. 用铲子
spectacle |  n. 值得看的东西, 光景, 眼镜
substantiate |  v. 实体化, 证实
subtitle |  n. 副题(书本中的), 说明或对白的字幕 // vt. 给...加副标题，给...加字幕
symphony |  n. 交响乐
trek |  vt. 艰苦跋涉(行军) // n. 艰苦跋涉
trumpet |  n. 喇叭,喇叭声,喇叭手 // vt. 宣扬；鼓吹；吹嘘 // vi. 吹喇叭,发出喇叭似的声音
wastage |  n. 消瘦, 衰老
waterfront |  n. 水边地, 滨水区 // adj. 滨水区的
yacht |  n. 游艇,快艇 // vi. 驾快艇
supplementary |  adj. 补充的, 附加的
tranquil |  adj. 安静的,宁静的,稳定的,不变的
ultimate |  n. 终极,根本，精华 // adj. 终极的,根本的,极限的,最后的
celebrity |  n. 名人, 著名,著名人士, 名声, 名誉, 社会名流
disposal |  n. 处理,消除,销毁,处置 // n. 弃菜碾碎器
gratitude |  n. 感谢的心情
intake |  n. 引入口, 入口, 通风口
obstacle |  n. 障碍,绊脚石
proponent |  n. 建议者,支持者
pursuit |  n. 追求, 追赶, 工作
statistics |  n. 统计；统计学；[统计] 统计资料
stereotype |  n. 铅版,陈腔滥调,老一套 // vt. 使用铅版,套用老套
triumph |  n. 凯旋,欢欣 // vi. 得胜,成功,庆功
upgrade |  vt. 提高(上升,浓集,加强) // n. 提高(上升,浓集,加强)
worship |  n. 崇拜, 爱慕, 做礼拜 // vi. 做礼拜 // vt. 崇拜, 爱慕
addict |  vt. 使...耽溺,使...上瘾 // n. 耽溺者,上瘾者
advisable |  adj. 明智的,可取的
awkward |  adj. 笨拙的 // adj. 尴尬的
benign |  adj. 仁慈的,温和的,良性的
considerate |  adj. 考虑周到的,体谅的
defiant |  adj. 挑衅的, 目中无人
delinquent |  n. 行为不良的人, 流氓 // adj. 怠忽的, 有过失的
dependent |  adj. 附属的,依赖的,悬垂的 // n. 受经济援助者
disposable |  adj. 用完即可丢弃的
endangered |  adj. （生命等）有危险的,有灭绝危险的,将要绝种的
hospitable |  adj. 好客的，殷勤的，易于接受的，宜人的
indispensable |  adj. 不可缺少的
ammunition |  n. 军火,弹药1) //  弹药  // (2) //  军火, 军需品  // (3) //  [喻]攻击[防御]手段  // (4) //  投掷[射击]物
annihilate |  v. 消灭，歼灭，彻底消除，使无效，废止
apologetic |  adj. 道歉的, 认错的, 赔罪的 // n. 辩护
appraise |  vt. 评价,估价,鉴定
baffle |  v. 困惑, 为难
boycott |  vt. 抵制（贸易），拒绝参加
capitulate |  vi. 有条件投降
census |  n. 户口普查 // v. 实施统计调查
concede |  vt. 承认,给予 // vi. 让步
consciousness |  n. 意识,知觉,自觉,觉悟
console |  vt. 安慰,慰藉 // n. 仪表盘,操控台,(游戏)平台
consolidation |  n. 巩固,团结,合并
contradict |  vt. 反驳,与...矛盾
cynic |  n. 愤世嫉俗者，犬儒主义者，好挖苦的人
desperate |  adj. 不顾一切的,绝望的, 极想得到的
dismay |  n. 沮丧, 绝望 // vt. 使...灰心,使...惊愕
entreat |  vt. 恳求, 乞求
exasperate |  v. 使...恼怒, 激怒, 恶化
exhilaration |  n. 高兴, 兴奋
exhort |  v. 劝诫, 忠告
extol |  vt. 颂扬, 称赞
flatter |  vt.& vi. 阿谀奉承, 取悦, 炫耀 // n. 平整工具
flaunt |  v. 挥动, 夸耀, （厚颜无耻地）炫耀, 飘扬，张扬
grieve |  v. 使...悲伤
grumble |  v. 发牢骚,抱怨，轰鸣 // n. 怨言,牢骚，轰隆声
humiliate |  v. 使...丢脸,使...蒙羞,屈辱
imminent |  adj. 逼近的, 即将发生的
inference |  n. 推理,推论
influence |  vt. 影响, 感化 // n. 影响力, 势力; 影响, 权势 // n. 有影响的人(或事物)
irrevocable |  adj. 不能唤回的, 不能取消的, 不能变更的
lament |  n. 悲叹, 悔恨, 恸哭 // v. 哀悼, 悔恨, 悲叹
laudable |  adj. 值得称赞的
madden |  v. 使发狂, 激怒, 发怒
meticulous |  adj. 一丝不苟的, 精确的
misery |  n. 痛苦,悲惨的境遇,苦难
mutter |  n. 喃喃低语 // v. 喃喃自语, 作低沉声, 出怨言
ominous |  adj. 预兆的,不祥的
ovation |  n. 热烈欢迎, 大喝采, 大受欢迎
perceptible |  adj. 可察觉的, 能感觉得到的, 看得见的
perplexity |  n. 困惑, 混乱
plaintive |  adj. 悲哀的,哀伤的
pompous |  adj. 傲慢的, 自大的, 浮华的
propriety |  n. 适当，正当，得体 // (复数）proprieties:礼节，礼仪
seductive |  adj. 诱惑的, 引人注意的, 有魅力的
sentiment |  n. 感情, 情趣, 意见，观点, 多愁善感
serpent |  n. 蛇, 蛇一般的人, 狡猾的人
significant |  adj. 有意义的, 意味深长的; 相当数量的; 重要的, 重大的 // n. (复)有意义的事物; 标志
solicit |  vt. 勾引, 乞求, 设法获得某事物 // vi. (妓女)拉客
solitary |  adj. 孤独的,独立的,荒凉的 // n. 隐士,
tolerable |  adj. 可容忍的, // adj. 还不错的
touchy |  adj. 易怒的, 难以取悦的, 过敏的
traction |  n. 拖，拽，牵引,牵引力，附着磨擦力
transmute |  v. 使...变形，经历变化
wiggle |  v.扭动，摆动，踌躇 // n.扭动，蠕动，踌躇 // n.奶油青豆烧鱼
irrational |  n. 无理数 // adj. 无理性的, 不合理的
irreversible |  adj. 不可逆转的
legitimate |  adj. 合法的, 正当的, 合理的, 世袭的 // vt. 使合法, 授权, 宣布...为合法
multilateral |  adj. 多边的, 多国参加的
negligent |  adj. 疏忽的, 粗心的, 不在意的
optional |  adj. 可以任选的,非强制的
preliminary |  n. 初步行动, 准备, 初步措施 // adj. 初步的, 开始的, 预备的
rampant |  adj. 猖獗的, 蔓延的, 奔放的
utilize |  vt. 利用
intrinsic |  adj. 固有的, 内在的
workmanship |  n. 手艺, 技巧
degenerate |  adj. 堕落的 // v. 退化, 堕落 // [计算机] 退化
harmonious |  adj. 和睦的, 和谐的, 音调优美的
slacken |  v. 使松弛，使缓慢，变弱
ulterior |  adj. 在那一边的(以后的,进一步的,隐蔽的)
alienate |  v. 使...疏远,离间,让与
differentiate |  vt. 识别, 使差异, 求导数, 区分, 区别对待 // vi. 区别,变异
disoriented |  adj. 分不清方向或目标的, 无判断力的 // 动词disorient的过去式和过去分词形式
hardship |  n. 艰难, 困苦
inferior |  adj. 次等的, 较低的, 不如的
refrain |  n. 重复, 叠句, 副歌 // v. 节制, 避免, 克制
segregate |  adj. 分离的, 被隔离的 // v. 分离, 隔离, 分凝
withdrawn |  adj. 偏僻的，离群的，孤独的 // withdraw的过去分词
endanger |  vt. 危及，危害
inflict |  vt. 施以,加害,使遭受, 折磨
enact |  vt. 制定法律,扮演
adjudicate |  vt. 判决，裁定 // vi. 充当裁判
arbitrate |  v. 仲裁
banish |  vt. 驱逐，流放，消除
chapel |  n. 小礼拜堂, 礼拜仪式，私人祈祷处，唱诗班，印刷厂工会，殡仪馆
coerce |  vt. 强制，迫使，威胁
commotion |  n. 骚动, 暴乱，喧闹
conspiracy |  n. 阴谋
constable |  n. 治安官, 警官, 巡官
constabulary |  adj. 警察的,警官的 // n. 警官队,警察
corpus |  n. [计] 语料库；文集；本金
counterbalance |  n. 平衡,平衡力 // v. 抵销 // vt. 使平衡,抵销
counterfeit |  n. 赝品, 伪造品 // adj. 假冒的, 假装的 // v. 仿造, 伪装, 假装
criterion |  n. 标准, 准则
cuff |  n. 袖口，护腕，裤子翻边; <俚>手铐; 护腕 // vt. 给…上袖口（或翻边）; 用手铐铐; 击掌; 轻拍
deadlock |  n. 僵局, 停顿，(比赛等的)分数不分上下 // v. 停顿, 相持不下
decapitate |  v. 斩首,杀头,开革
decentralize |  v. （使）权利下放, （使）人口疏散
decree |  n. 法令,判决,天意 // vt. 通过法令颁布,裁定
defiance |  n. 蔑视，挑战，挑衅
delude |  vt. 欺骗，迷惑, 蛊惑
derelict |  adj. 被抛弃了的,无主的,玩忽职守的 // n. 遗弃物,被遗弃的人,玩忽职守者
deviate |  vt. 使偏离, 脱离 // vi. 违背,偏离 // n. 叛离者,偏差, 不正常的人或物 // adj. 离经叛道的
dilate |  vt. 使扩大,使膨胀 // vi. 扩大，膨胀，详述
disarray |  v. 弄乱,使混乱,使脱去衣服 // n. 无秩序,杂乱,不整齐的衣服
dispel |  v. 驱散, 驱逐
epitomize |  vt. 摘要；概括；成为……的典范；作为……的缩影
exterminate |  vt. 扑灭, 消灭, 根绝
extort |  vt. 勒索, 敲诈, 强要
falsify |  vt. 伪造, 歪曲, 说谎
feminism |  n. 男女平等主义,女权运动
filth |  n. 污秽(肮脏的)
forensic |  adj. 法院的, 关于法庭的, 适合于辩论的
forfeit |  n. 没收物,罚金,丧失 // vt. 没收,丧失 // adj. 丧失了的
gamble |  n. 冒险 // v. 赌博, 孤注一掷
illogical |  adj. 不合逻辑的, 不合理的
implication |  n. 暗示,含意
implicit |  adj. 暗示的,盲从的 // [计算机] 隐式
inmate |  n. 同住者, 同室者(特指在医院、监狱), 居民
intermediate |  adj. 中级的,中间的 // n. 中间体,媒介物, 调解人 // vi. 调解, 干涉
interrogate |  v. 质问, 讯问, 审问
lull | n. n. 平静时期,间歇
marvelous |  adj. 令人惊异的,了不起的,不平常的
meddle |  vi. 干预，干涉，插手
mediate |  adj. 居间的,间接的 // vt.& vi. 斡旋,调停
misconceive |  v. 误解
molest |  vt. 骚扰, 干扰, 调戏
mystify |  v. 神秘化,使难解,迷惑
notary |  n. 公证人, 公证员
nullify |  v. 使无效, 废弃, 取消
occasional |  adj. 偶然的, 不时的
ordeal |  n. 严酷的考验，痛苦的经验，神裁法
ostensible |  adj. 表面的, 假装的
ostentation |  n.  卖弄，夸耀，摆阔，讲排场
penetrate |  vt. &vi. 穿透,渗透,看穿
postmortem |  adj. 死后的，事后的 // n. 尸体检查, 验尸
precaution |  n. 预防,留心,警戒
quench |  v. 熄减, 结束, 冷浸, 解渴
recede |  vi. 后退,减弱 // vt. 撤回
reckless |  adj. 不计后果的,大意的,鲁莽的
salvage |  n. 救捞(抢修,废物利用,废弃品,救难费) // vt 救捞(抢修,废物利用)
scapegoat |  n. 替罪的羔羊, 替人顶罪者 // v. 使…成为替罪羊
scrutiny |  n. 详细审查；监视；细看；选票复查
simultaneous |  adj. 同时发生的,同步的
squeal |  n. 长而尖的叫声 vi. 发出长声尖叫; 告密，告发
stigma |  n. 耻辱, 污名 // n. 柱头
stint |  v. 节省, 限制, 停止 // n. 舍不得花, 节约, 限制 // n. 连续不断的一段时间从事某件事
successive |  adj. 接连的, 连续的, 接二连三的
succinct |  adj. 简洁的 // adj. [古]紧身的
summon |  vt. 召唤,召集,振奋
tumult |  n. 骚动, 吵闹，喧哗
turmoil |  n. 骚动, 混乱
ultimatum |  n. 最后通牒
whence |  adv. 出于什么原因(从哪里) // pron. 那里(何处)
enlist |  v. 徵募, 参与, 支持
impinge |  v. 冲击,撞击 // vi. 侵犯
infringe |  v. 破坏, 犯, 违反
invade |  vt. 侵略,侵害,拥入
legislative |  n. 立法机构, 立法权 // adj. 立法的, 有立法权的
outlaw |  n. 被剥夺法律保护的人, 罪犯 // v. 使...失去法律保护, 将...逐出社会, 宣告非法
penalize |  v. 处刑, 宣告有罪, 处罚，使不利
suppress |  vt. 镇压,使...止住,禁止
voluntary |  adj. 自愿的, 志愿的 // n. (教堂礼拜仪式前后或进行期间的)乐器独奏
begrudge |  vt. 嫉妒, 羡慕, 对（某人所享有的）感到不满；舍不得给
bleak |  adj. 萧瑟的,严寒的,阴郁的
expertise |  n. 专家的意见,专门技术
momentum |  n. 动力,要素, 势头,（物理）动量
prosper |  v. 兴隆,成功,使...昌盛
self-esteem |  n. 自尊, 自负, 自大, 自尊心
diabetes |  n. 糖尿病
nutrient |  adj. 营养的,滋养的 // n. 营养物,营养品
overweight |  adj. 超重的，过胖的 // n. 超重 // vt.使超重，过于重视
devastate |  vt. 毁坏,使震惊
characteristic |  adj. 特有的, 典型的 // n. 特性, 特征, 特色
innate |  adj. 天生的,固有的
variation |  n. 变化,变动,变种,变奏曲
abbreviate |  vt. 缩写，缩短，使...简略
acquaint |  vt. 使...熟知
adverbial |  adj. 副词的
allude |  vi. 暗示,暗指
analytical |  adj. 分析的,解析的,善于解析的
antonym |  n. 反义词
asterisk |  n. 星号(*)
biometrics |  n.生物测定学
brainstorm |  v. 集体自由讨论 // vi. 动脑筋,出主意,想办法,献计献策 // vt. 集思广益以寻找(解决难题的方法等)
canteen |  n.小卖部； 食堂，小饭馆； 水罐； 餐具盒，炊具箱
centigrade |  adj. 分为百度的,摄氏的
commencement |  n. 开始,毕业典礼
compendium |  n. 简要, 概略，提纲
contention |  n. 争论, 争辩, 所持的论点 // [计算机] 线路争夺
decimal |  adj. 十进位的,小数的 // n. 小数
distil |  v. 蒸馏, 提取....的精华 // =distill
dogma |  n. 教条，信条
elicit |  vt. 引出,诱探出
eloquent |  adj. 雄辩的, 有口才的, 动人的
entrant |  n. (参加比赛的)竞赛者, 新就业者, 新成员
expulsion |  n. 驱逐, 开除,排气
glossary |  n. 字典,辞典 // [计算机] 词汇表
implant |  v. 深植,灌输,嵌入,移植 // n. 移植物,植入物
invigilate |  v. 监考，监督
lucid |  adj. 明白易懂的, 清晰的, 神智清醒的
malice |  n. 恶意, 怨恨，蓄意 // [律]预谋
manacle |  n. 手铐(束缚) // vt 上手铐(束缚)
marginal |  adj. 边际的,末端的,仅以微弱多数获胜的,微小的
massacre |  n. 大屠杀 // v. 大屠杀
meteorology |  n. 气象学, 气象状态
metric |  adj. 公制的,米制的,十进制的 // n. 度量标准,公制,米制,十进制
nitrate |  n. 硝酸盐
numerate |  vt. 数，点，列举 // adj. 数学基础好的
octagon |  n. 八边形, 八角形, 八角堂
partition |  n. 分割,隔离物,隔墙 // v. 区分,隔开,分割
perpendicular |  n. 垂直线,垂直的位置 // adj. 垂直的,直立的
perverse |  adj. 乖张的, 倔强的, 错误的，不正当的，误入歧途的，有悖常理的
piecemeal |  adv. 一件一件,一片一片 // adj. 一片一片的,逐渐的 // n. 断片
pivot |  n. 枢,核心,旋转 // adj. 在枢轴上转动的,关键的 // vt. 装枢轴于,以...为中心旋转 // vi. 在枢轴上转动
plunder |  v. 掠夺, 抢劫, 抢夺 // n. 抢夺, 掠夺品, 战利品
preparatory |  adj. 预备的,准备的,初步的
ransom |  n. 赎金, 赎身, 赎回
rectangle |  n. 长方形,矩形
reiterate |  vt. 反覆地说,反覆地做
resultant |  adj. 作为结果的，合成的 // n. 结果, 产物，[数学] 合矢量，结式
retrial |  n. 再审,覆试
sabotage |  n. 怠工,破坏活动,破坏 // vt. 从事破坏活动,妨害,破坏
semblance |  n. 类似(外观,假装)
singular |  adj. 个人的,单数的,独一的,唯一的,非凡的 // n. 单数
strenuous |  adj. 紧张的；费力的；奋发的；艰苦的；热烈的
subdue |  v. 使服从, 压制, 减弱
synopsis |  n. 摘要,概要
tenable |  adj. 站得住脚的, 无懈可击的
tetrad |  四位组
thermostat |  n. 恒温器
transgress |  vt. 越过(违反,越界,违法)
treble |  adj. 三倍的，最高音部的 // v. （使）成三倍 // n.  三倍，最高音部
triple |  n. 三倍之数,三个一组 // adj. 三倍的
undulate |  adj. 波动的, 起伏的 // v. (使) 波动, (使) 起伏, (使) 震动
variable |  adj. 可变的,易变的 // n. 变量, 易变的东西
variant |  n. 变体 // adj. 不同的
vehement |  adj. 激烈的, 猛烈的
verdict |  n. 裁定, 定论
vigilant |  adj. 警醒的, 警戒著的, 警惕的
zoological |  adj. 动物(学)的
automatic |  n. 自动装置, 半自动武器 // adj. 自动的,机械的,半自动化的
adept |  adj. 熟练的, 老练的 // n. 名手, 专家
be adept at |  v. 擅长
endow |  vt. 捐助,赋予,使具有某种品质
cognition |  n. 认识, 认识力, 知觉
browse |  vt. &vi. 浏览, 随意观看, 吃草 // n. 浏览, 嫩叶
converse |  n. 相反的事物,倒,逆向 // adj. 相反的,逆向的,倒 的 // v. 交谈,谈话 // [计算机] 转换
stimulus |  n. 刺激, 激励, 刺激品
purchase |  n. 购买, 购买的物品 // n. 支点; 紧握, 抓紧 // vt. 购买, 赢得; (用设备)举起, 移动
portrayal |  n. 描绘，肖像，画像
summarize |  vt. &vi. 概述,摘要而言
coherent |  adj. 互相耦合的,清晰的，明了的，凝聚性的,连贯的
apportion |  v. 分配, 分摊, 分派
distribute |  vt. &vi. 分配,散布
outlook |  n. 观点,见解,展望,前景
resistance |  n. 抵抗力,反抗,反抗行动;阻力,电阻;反对 // adj.  抵抗的
elect |  n. 当选人, 被选的人, 上帝的选民 // adj. 被选的, 选出的 // v. 选举, 选择
by correspondence |  用写信的办法
specialist |  n. 专家
gadget |  n. 小机件
provision |  n. 规定, 条款; 供应(品); 预备 // n. (pl.) 食物 // vt. 向...供应食物
tutorial |  n. 个别指导 // adj. 个别指导的
concentrate on |  集中于，专心于
replicate |  vt. &vi. 折叠,复制,模写 // n. 同样的样品 // adj. 转折的
allegiance |  n. 忠诚
antagonism |  n. 对抗，对立，敌对状态（行为）
arbitrary |  adj. 任意的, 专制的, 武断的, 霸道的
basement |  n. 根基，地下室 // n.（新英格兰）特别指学校中的公厕
bungalow |  n. (有凉台的)平房, 小屋
carousel |  n. 旋转木马, （机场的）行李传送带 // =carrousel
confidential |  adj. 机密的,获他人信赖的,易于信任他人的
consonant |  n. 辅音 // adj. 一致的,调和的,辅音的
convene |  v. 集合, 召集, 召唤 // v. 聚集, 集合
custodian |  n. 管理人,保管人,监督人
declaration |  n. 宣布, 宣言
deliberation |  n. 熟虑, 审议
demography |  n. 人口统计学
deploy |  vt. &vi. 展开,配置,部署
deputy |  adj. 代理的, 副的 // n. 代表, 副手
discrete |  adj. 不连续的 离散的 // [计算机] 分离 离散
disintegrate |  v. (使)粉碎,(使)碎裂,解体,瓦解 // vt. 瓦解,崩溃
embankment |  n. 堤防, 筑堤
embassy |  n. 大使馆,大使,外使团
eradicate |  v. 根除, 扑减, 根绝
evacuate |  vt. &vi. 疏散, 撤出, 排泄
expedient |  n. 权宜之计,临时手段 // adj. 权宜的,方便的,有用的
fallible |  adj. 易错的,可能犯错的
formation |  n. 构造,编队,形成
frontier |  n. 边界,边境，尖端，边缘
gratuity |  n. 赠物,赏钱,贺仪
harangue |  n. 长篇大论；高谈阔论；热烈的演说 // vt. 向…滔滔不绝地演讲；大声训斥 // vi. 高谈阔论；慷慨陈词
hierarchy |  n. 等级制度，层级[计],统治集团
informative |  adj. 情报的, 使知道消息的, 见闻广博的
interim |  adj. 中间的,暂时的,临时的 // n. 中间时期,过渡时期,暂定
intransigent |  adj. 非妥协性的 // n. 不妥协的人
intrusion |  n. 闯入, 侵扰
mandate |  n. 命令, 指令, 要求，托管地 // vt. 把(某一地区)置于委任管理下
matriculate |  v. 准许入学,录取
militant |  adj. 好战的, 积极从事或支持使用武力的
momentous |  adj. 重要的, 重大的
negligence |  n. 疏忽, 粗心大意
obligatory |  adj. 强制性的, 义务的, 必须的
paranoia |  n. [心]妄想狂, 偏执狂
pedestal |  n. 基架, 底座, 受人尊敬的地位 // vt. 加座, 搁在台上
permissible |  adj. 可允许的,可容许程度的
ponderous |  adj. 笨重的, 笨拙的，乏味的
probation |  n.鉴定,试用,缓刑
problematic |  adj. 问题的, 有疑问的
pronounceable |  adj. 可发音的, 可断言的
quandary |  n. 困惑, 迷惑, 为难
regime |  n. 政权，政体；社会制度；管理体制
sanity |  n. 神智健全, 头脑清楚, 健全
siege |  n. 包围, 围攻
sovereign |  n. 元首,金镑 // adj. 具有主权的,至高无上的,极好的,完全的
suicidal |  adj. 自杀的, 自杀性的, 自我毁减的
syllabus |  n. 摘要,课程表
symposium |  n. 讨论会(论文集, 酒会)
tactic |  n. 战略,策略 // adj. 战术的,有策略的
thesaurus |  n. 同类词汇编，辞典, （知识）宝库
transitive |  adj. 传递的，过渡的，[语]及物的
memorize |  v. 记住, 记录, 记下
escalate |  vt. 扩大,升高,增强 // vi. 逐步升级
integrate with |  v. 与 ... 成为一体，与 ... 相结合
occupy |  vt. 占领,占,住进
entitle to |  vt. 有资格(有权)
energetic |  adj. 精力旺盛的,有力的,能量的
benevolent |  adj. 仁慈的,乐善好施的
plausible |  adj. 似真实的,似合理的,说得蛮像回事的
transient |  adj. 短暂的 // n. 短期居留者,瞬间的变化
constituent |  n. 成份,选民,构成物 // adj. 构成的,组织的,有提名权的
impetus |  n. 动力,推动力
domain |  n. 领域 // [计算机] 域
dwindle |  v. 减少, 缩小
embark on |  上（船、飞机等），从事，着手
inaugurate |  v. 举行就职典礼,举行仪式 // v. 开始,开创
anecdote |  n. 轶事,奇闻
accommodate |  vi. 使自己适应 // vt. 使一致，和解；提供方便；容纳；顾及
render |  vt. 使成为, 提供, 报答, 着色; 执行, 实施 // vi. 给予补偿 // n. 交纳, 粉刷, 打底
adore |  v. 崇拜,爱慕,喜爱
arouse |  vt. 唤醒,激发,激起 // vi. 唤醒
ban |  n. 禁令 // v. 禁止 // vt. 禁止,取缔
bear |  n. 熊 // v. 忍受,负荷 // v. 结果实,生子女
belong |  vi. 属于，适合于
communicate |  vt. 传达, 传播 // vi. 交流, 沟通, 联通
conquer |  vt. 征服, 战胜, 克服 // vi. 得胜
deepen |  vt. 使...加深, 使...强烈 // vi. 加深，变浓
deliver |  vt.发表； 递送； 交付； 使分娩 // vi.投递； 传送
dispose |  vt. 倾向于,处置 // vi. 销毁
exert |  vt. 运用, 施加（压力，影响等）
abate |  v. 缓和, 减弱
acrobat |  n. 杂技演员，见风使舵的人
apparel |  n. 衣服,装具 // vt. 使...穿衣,装饰
beautician |  n. 美容师
